,tripReadId,partnerName,cargoTonnage,asset_type,loadedDate,source_region,destination_region,source,destination,goodType,asset_size,totalDistance,month,currency,amount
5041,TP1154238,SOA EMPIRE INTERNATIONAL LIMITED,40.0,Flatbed,2021-08-10 10:38:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,575000.0
5042,TP1154487,SOA EMPIRE INTERNATIONAL LIMITED,50.0,Flatbed,2021-08-11 21:33:00+00:00,south west,south west,LAGOS,OGUN,RAW MATERIALS,40.0,38254.0,August,NGN,575000.0
5043,TP1154893,RIBELO BUFAS ENTERPRISE,30.0,Open,2021-08-14 17:04:00+00:00,south west,south west,LAGOS,OGUN,FLOUR,30.0,36820.0,August,NGN,201160.0
5044,TP1154397,RASHID LOGISTICS SERVICES,40.0,Open,2021-08-11 12:54:00+00:00,north west,north east,KANO,YOBE,SORGHUM,40.0,444440.0,August,NGN,320000.0
5045,TP1150225,Powar Kevin Polycarp,35.0,Open,2021-07-09 20:29:00+00:00,north east,north west,ADAMAWA,KANO,SOYABEAN SEEDS,35.0,642091.0,July,NGN,561150.0
5046,TP1153738,Augustine Christopher Transporter,15.0,Covered,2021-08-07 07:48:00+00:00,south west,south south,LAGOS,EDO,VEGETABLE OIL,15.0,393206.0,August,NGN,272785.88
5047,TP1154767,Isiaka logistics ,20.0,Covered,2021-08-13 16:03:00+00:00,south west,south west,OGUN,LAGOS,OTHERS,20.0,0.0,August,NGN,87008.25
5048,TP1154248,Kola Taiwo,30.0,Flatbed,2021-08-10 09:11:00+00:00,south west,south west,OGUN,LAGOS,SOYABEAN SEEDS,40.0,72901.0,August,NGN,210000.0
5049,TP1154258,Kola Taiwo,30.0,Flatbed,2021-08-10 09:46:00+00:00,south west,south west,OGUN,LAGOS,SOYABEAN SEEDS,40.0,72901.0,August,NGN,210000.0
5050,TP1154253,Kola Taiwo,30.0,Open,2021-08-10 09:09:00+00:00,south west,south west,OGUN,LAGOS,SOYABEAN SEEDS,35.0,0.0,August,NGN,210000.0
5051,TP1154250,Kola Taiwo,30.0,Open,2021-08-10 09:38:00+00:00,south west,south west,OGUN,LAGOS,SOYABEAN SEEDS,30.0,72901.0,August,NGN,210000.0
5052,TP1154259,Kola Taiwo,30.0,Flatbed,2021-08-10 08:59:00+00:00,south west,south west,OGUN,LAGOS,SOYABEAN SEEDS,40.0,72901.0,August,NGN,210000.0
